
Image: dataset\coins_images\coins_images\indian_coins\162d62e024.jpg | Précision: 61.76%
Image: dataset\coins_images\coins_images\indian_coins\2993f8fbec.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\indian_coins\3a3d630d6a.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\indian_coins\57ced878ff.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\indian_coins\6fe09bf38f.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\indian_coins\91e83a53ca.jpg | Précision: 55.56%
Image: dataset\coins_images\coins_images\indian_coins\96e18862f6.jpg | Précision: 61.11%
Image: dataset\coins_images\coins_images\indian_coins\9c0b6f75fe.jpg | Précision: 61.90%
Image: dataset\coins_images\coins_images\indian_coins\a59230ef5b.jpg | Précision: 78.26%
Image: dataset\coins_images\coins_images\indian_coins\af6072b73e.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\indian_coins\b19f0410ae.jpg | Précision: 75.00%
Image: dataset\coins_images\coins_images\indian_coins\b47e7995b1.jpg | Précision: 52.94%
Image: dataset\coins_images\coins_images\indian_coins\c28327c953.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\indian_coins\c8712c2c8d.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\indian_coins\e5fc4d83a1.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\indian_coins\f671cfbcc5.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\peso_coins\16257f005f.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\peso_coins\18e5daff24.jpg | Précision: 75.00%
Image: dataset\coins_images\coins_images\peso_coins\1e4b936e3a.jpg | Précision: 71.43%
Image: dataset\coins_images\coins_images\peso_coins\29d9c057db.jpg | Précision: 66.67%
Image: dataset\coins_images\coins_images\peso_coins\2a5edf5b8f.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\peso_coins\382e9c61d2.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\peso_coins\40ec550145.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\peso_coins\5f1ac2f048.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\peso_coins\a47eb7a8d1.jpg | Précision: 66.67%
